"000:00:00.000","Info","2019-07-15 04:19:16","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7197 a7271 a7557 a8106"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.625","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.626","","","","","","ZONE_DISTANCES",16258,21079,11125,23742,10806,20697,18514,23522
"000:35:30.626","","","","","","ZONE_TIMERS",122.314,177.772,94.691,205.395,87.924,212.162,132.756,167.330
"000:35:30.627","","","","","","ZONE_COUNTERS",53,53,42,43,34,34,54,55
"000:35:30.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.628","","","","","","TOTAL_ARENA_DISTANCES",37337,34867,31502,42036
"000:40:30.684","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.687","","","","","","ZONE_DISTANCES",12624,1178,22371,9118,9405,20717,21499,21127
"000:40:30.689","","","","","","ZONE_TIMERS",291.826,8.231,216.188,83.869,91.102,208.955,158.123,141.934
"000:40:30.691","","","","","","ZONE_COUNTERS",7,7,38,38,37,38,56,56
"000:40:30.694","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.696","","","","","","TOTAL_ARENA_DISTANCES",13802,31489,30122,42627
"000:45:30.774","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.774","","","","","","ZONE_DISTANCES",3381,23832,4288,28801,6591,23178,15937,26720
"000:45:30.775","","","","","","ZONE_TIMERS",16.673,283.417,34.276,265.814,52.108,247.982,115.806,184.284
"000:45:30.776","","","","","","ZONE_COUNTERS",19,19,27,27,40,41,66,65
"000:45:30.776","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.777","","","","","","TOTAL_ARENA_DISTANCES",27213,33089,29769,42657
"000:50:30.857","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.857","","","","","","ZONE_DISTANCES",8925,824,27425,2943,12923,19227,20629,16793
"000:50:30.858","","","","","","ZONE_TIMERS",295.543,4.538,271.145,28.937,119.781,180.301,174.670,125.412
"000:50:30.859","","","","","","ZONE_COUNTERS",3,3,19,19,43,44,52,51
"000:50:30.859","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.860","","","","","","TOTAL_ARENA_DISTANCES",9749,30369,32150,37422
